1073.6	6271
1073.8	6281
1074	6248
1074.2	6255
1074.4	6201
1074.6	5989
1074.8	6167
1075	6326
1075.2	6340
1075.4	6355
1075.6	6392
1075.8	6324
1076	6474
1076.2	6329
1076.4	6243
1076.6	6346
1076.8	6321
1077	6263
1077.2	6420
1077.4	6277
1077.6	6360
1077.8	6327
1078	6285
1078.2	6265
1078.4	6408
1078.6	6475
1078.8	6184
1079	6396
1079.2	6202
1079.4	6156
1079.6	6317
1079.8	6411
1080	6442
1080.2	6455
1080.4	6334
1080.6	6277
1080.8	6167
1081	6305
1081.2	6257
1081.4	6504
1081.6	6360
1081.8	6353
1082	6352
1082.2	6474
1082.4	6319
1082.6	6469
1082.8	6430
1083	6634
1083.2	6356
1083.4	6417
1083.6	6497
1083.8	6339
1084	6315
1084.2	6306
1084.4	6310
1084.6	6293
1084.8	6327
1085	6307
1085.2	6314
1085.4	6363
1085.6	6389
1085.8	6343
1086	6285
1086.2	6280
1086.4	6262
1086.6	6491
1086.8	6323
1087	6453
1087.2	6244
1087.4	6311
1087.6	6357
1087.8	6401
1088	6394
1088.2	6416
1088.4	6530
1088.6	6392
1088.8	6456
1089	6267
1089.2	6208
1089.4	6469
1089.6	6333
1089.8	6249
1090	6310
1090.2	6309
1090.4	6285
1090.6	6287
1090.8	6386
1091	6494
1091.2	6416
1091.4	6372
1091.6	6377
1091.8	6446
1092	6425
1092.2	6431
1092.4	6612
1092.6	6462
1092.8	6442
1093	6527
1093.2	6386
1093.4	6562
1093.6	6408
1093.8	6582
1094	6559
1094.2	6569
1094.4	6646
1094.6	6493
1094.8	6556
1095	6583
1095.2	6478
1095.4	6572
1095.6	6400
1095.8	6460
1096	6425
1096.2	6596
1096.4	6504
1096.6	6515
1096.8	6501
1097	6454
1097.2	6473
1097.4	6264
1097.6	6414
1097.8	6347
1098	6413
1098.2	6337
1098.4	6289
1098.6	6521
1098.8	6634
1099	6437
1099.2	6679
1099.4	6482
1099.6	6535
1099.8	6557
1100	6649
1100.2	6609
1100.4	6633
1100.6	6754
1100.8	6530
1101	6500
1101.2	6740
1101.4	6446
1101.6	6588
1101.8	6531
1102	6475
1102.2	6573
1102.4	6514
1102.6	6653
1102.8	6538
1103	6568
1103.2	6530
1103.4	6627
1103.6	6440
1103.8	6522
1104	6391
1104.2	6422
1104.4	6378
1104.6	6546
1104.8	6457
1105	6407
1105.2	6498
1105.4	6461
1105.6	6572
1105.8	6298
1106	6532
1106.2	6511
1106.4	6593
1106.6	6502
1106.8	6452
1107	6619
1107.2	6554
1107.4	6534
1107.6	6588
1107.8	6597
1108	6636
1108.2	6677
1108.4	6665
1108.6	6658
1108.8	6626
1109	6607
1109.2	6606
1109.4	6622
1109.6	6850
1109.8	6394
1110	6725
1110.2	6497
1110.4	6457
1110.6	6658
1110.8	6596
1111	6654
1111.2	6551
1111.4	6636
1111.6	6679
1111.8	6632
1112	6608
1112.2	6635
1112.4	6521
